timestamp,Bx,By,Bz,B_total
2026-08-18 05:49:00,20197.54,900.99,44669.85,49031.94
2026-08-18 05:50:00,20199.44,899.86,44670.33,49033.13
2026-08-18 05:51:00,20199.7,899.11,44669.89,49032.82
2026-08-18 05:52:00,20200.27,898.62,44669.51,49032.71
2026-08-18 05:53:00,20200.46,898.08,44669.42,49032.68
2026-08-18 05:54:00,20200.52,898.91,44669.37,49032.69
2026-08-18 05:55:00,20200.74,898.7,44669.04,49032.47
2026-08-18 05:56:00,20201.76,897.64,44669.1,49032.92
2026-08-18 05:57:00,20202.53,896.55,44668.98,49033.11
2026-08-18 05:58:00,20202.64,896.64,44668.92,49033.11
2026-08-18 05:59:00,20202.96,896.91,44668.74,49033.07
2026-08-18 06:00:00,20203.13,897.16,44668.61,49033.02
2026-08-18 06:01:00,20203.17,897.87,44668.51,49032.95
2026-08-18 06:02:00,20202.76,898.27,44668.14,49032.45
2026-08-18 06:03:00,20202.99,898.27,44668.21,49032.62
2026-08-18 06:04:00,20202.92,899.11,44667.74,49032.19
2026-08-18 06:05:00,20203.33,899.2,44667.45,49032.08
2026-08-18 06:06:00,20204.05,898.15,44667.52,49032.44
2026-08-18 06:07:00,20204.63,897.51,44667.8,49032.91
2026-08-18 06:08:00,20203.83,897.9,44667.57,49032.38
2026-08-18 06:09:00,20203.63,899.18,44667.57,49032.31
2026-08-18 06:10:00,20204.18,899.05,44667.58,49032.56
2026-08-18 06:11:00,20204.13,899.18,44667.41,49032.38
2026-08-18 06:12:00,20203.83,900.5,44667.12,49032.02
2026-08-18 06:13:00,20203.88,901.39,44667.24,49032.16
2026-08-18 06:14:00,20203.65,901.33,44667.08,49031.93
2026-08-18 06:15:00,20202.99,902.84,44666.64,49031.27
2026-08-18 06:16:00,20202.08,903.7,44666.07,49030.39
2026-08-18 06:17:00,20201.91,905.1,44666.09,49030.4
2026-08-18 06:18:00,20201.61,906.67,44665.89,49030.11
2026-08-18 06:19:00,20202.3,906.36,44665.63,49030.16
2026-08-18 06:20:00,20203.81,905.33,44666.38,49031.43
2026-08-18 06:21:00,20204.53,904.55,44667.18,49032.42
2026-08-18 06:22:00,20202.71,904.73,44666.91,49031.44
2026-08-18 06:23:00,20201.63,907.15,44666.59,49030.75
2026-08-18 06:24:00,20200.49,908.98,44665.88,49029.66
2026-08-18 06:25:00,20200.02,910.65,44665.3,49028.97
2026-08-18 06:26:00,20200.65,911.09,44665.44,49029.38
2026-08-18 06:27:00,20200.42,911.84,44665.42,49029.27
2026-08-18 06:28:00,20199.37,913.83,44664.98,49028.47
2026-08-18 06:29:00,20199.25,914.13,44664.9,49028.35
2026-08-18 06:30:00,20199.1,915.47,44665.3,49028.67
2026-08-18 06:31:00,20196.83,917.07,44664.95,49027.48
2026-08-18 06:32:00,20198.57,919.2,44664.75,49028.05
2026-08-18 06:33:00,20199.49,918.69,44664.75,49028.4
2026-08-18 06:34:00,20198.77,918.56,44664.95,49028.28
2026-08-18 06:35:00,20198.19,918.88,44664.79,49027.92
2026-08-18 06:36:00,20198.06,919.35,44665.24,49028.27
2026-08-18 06:37:00,20197.19,920.88,44665.05,49027.77
2026-08-18 06:38:00,20195.01,921.76,44664.79,49026.68
2026-08-18 06:39:00,20195.91,922.52,44664.76,49027.06
2026-08-18 06:40:00,20196.31,921.85,44665.04,49027.43
2026-08-18 06:41:00,20196.38,922.52,44665.35,49027.74
2026-08-18 06:42:00,20196.3,923.05,44665.37,49027.74
2026-08-18 06:43:00,20196.18,922.6,44665.9,49028.14
2026-08-18 06:44:00,20195.45,922.75,44665.41,49027.42
2026-08-18 06:45:00,20194.06,923.04,44665.42,49026.85
2026-08-18 06:46:00,20192.77,924.37,44665.16,49026.14
2026-08-18 06:47:00,20192.75,924.12,44665.07,49026.06
2026-08-18 06:48:00,20193.67,923.63,44665.89,49027.16
2026-08-18 06:49:00,20193.14,924.34,44666.09,49027.12
2026-08-18 06:50:00,20192.44,925.36,44666.04,49026.82
2026-08-18 06:51:00,20191.45,925.26,44665.96,49026.33
2026-08-18 06:52:00,20190.44,926.0,44665.97,49025.94
2026-08-18 06:53:00,20190.18,927.14,44666.17,49026.04
2026-08-18 06:54:00,20189.63,927.76,44665.76,49025.45
2026-08-18 06:55:00,20189.69,928.18,44665.79,49025.51
2026-08-18 06:56:00,20189.95,928.86,44665.79,49025.63
2026-08-18 06:57:00,20190.27,929.73,44665.81,49025.8
2026-08-18 06:58:00,20189.94,930.35,44665.84,49025.7
2026-08-18 06:59:00,20189.36,931.52,44665.73,49025.39
2026-08-18 07:00:00,20188.4,932.88,44665.37,49024.69
2026-08-18 07:01:00,20188.79,933.18,44665.55,49025.03
2026-08-18 07:02:00,20189.9,932.88,44665.91,49025.82
2026-08-18 07:03:00,20191.37,932.81,44666.13,49026.59
2026-08-18 07:04:00,20191.36,932.41,44666.13,49026.56
2026-08-18 07:05:00,20189.76,932.79,44665.89,49025.72
2026-08-18 07:06:00,20188.75,935.16,44665.95,49025.39
2026-08-18 07:07:00,20189.68,935.74,44665.63,49025.49
2026-08-18 07:08:00,20191.3,934.39,44665.77,49026.28
2026-08-18 07:09:00,20193.32,931.74,44666.49,49027.69
2026-08-18 07:10:00,20191.2,935.44,44665.73,49026.21
2026-08-18 07:11:00,20189.75,937.6,44664.79,49024.83
2026-08-18 07:12:00,20190.45,937.84,44664.95,49025.24
